value,trat
2.66,WCt
2.66,WCt
2.66,WCt
2.65,DC
2.65,DC
2.65,WCt
2.65,WCt
2.64,DC
2.64,WCc
2.64,WCt
2.64,WCt
2.63,WCt
2.63,WCt
2.63,WCt
2.62,DC
2.62,DC
2.62,DC
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCc
2.61,WCt
2.61,WCt
2.6,DC
2.6,DC
2.6,DC
2.6,DC
2.6,WCt
2.59,DC
2.59,WCt
2.59,WCt
2.59,WCt
2.58,DC
2.58,DC
2.58,DC
2.58,WCt
2.57,DC
2.57,DC
2.57,DC
2.57,WCt
2.57,WCt
2.57,WCt
2.57,WCt
2.56,WCt
2.56,WCt
2.55,WCc
2.55,WCc
2.55,WCc
2.55,WCc
2.55,WCc
2.55,WCc
2.55,WCc
2.55,WCt
2.55,WCt
2.55,WCt
2.55,WCt
2.54,DC
2.54,DC
2.54,DC
2.52,DC
2.52,DC
2.52,DC
2.52,DC
2.52,WCt
2.52,WCt
2.51,WCt
2.51,WCt
2.51,WCt
2.5,DC
2.5,WCt
2.5,WCt
2.5,WCt
2.5,WCt
2.5,WCt
2.49,DC
2.49,DC
2.49,DC
2.49,WCc
2.49,WCc
2.49,WCc
2.49,WCc
2.49,WCc
2.49,WCc
2.49,WCc
2.49,WCc
2.49,WCc
2.49,WCc
2.49,WCt
2.49,WCt
2.49,WCt
2.49,WCt
2.48,DC
2.48,DC
2.48,DC
2.48,WCt
2.47,DC
2.47,DC
2.47,DC
2.47,DC
2.47,WCt
2.46,DC
2.46,WCt
2.45,DC
2.45,DC
2.45,WCc
2.44,DC
2.44,WCc
2.44,WCc
2.44,WCc
2.44,WCc
2.44,WCc
2.44,WCc
2.43,DC
2.43,DC
2.43,WCt
2.42,DC
2.42,DC
2.42,DC
2.42,WCt
2.41,WCt
2.41,WCt
2.41,WCt
2.41,WCt
2.4,DC
2.4,WCt
2.39,WCt
2.39,WCt
2.39,WCt
2.38,DC
2.38,WCc
2.38,WCc
2.38,WCc
2.38,WCc
2.38,WCc
2.38,WCc
2.38,WCc
2.37,DC
2.37,DC
2.37,DC
2.37,DC
2.37,DC
2.37,DC
2.36,WCt
2.35,WCt
2.35,WCt
2.34,DC
2.33,DC
2.33,WCt
2.32,DC
2.32,DC
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCc
2.32,WCt
2.31,WCt
2.31,WCt
2.31,WCt
2.3,DC
2.3,DC
2.3,DC
2.3,DC
2.3,WCt
2.29,DC
2.29,DC
2.28,DC
2.28,WCt
2.28,WCt
2.28,WCt
2.27,DC
2.26,DC
2.26,WCc
2.26,WCc
2.26,WCc
2.26,WCc
2.26,WCc
2.26,WCc
2.26,WCc
2.26,WCt
2.25,WCt
2.24,DC
2.24,DC
2.24,WCt
2.24,WCt
2.23,DC
2.23,WCt
2.23,WCt
2.23,WCt
2.23,WCt
2.21,DC
2.2,DC
2.2,DC
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCc
2.2,WCt
2.19,WCt
2.18,DC
2.18,WCt
2.18,WCt
2.18,WCt
2.17,WCt
2.16,DC
2.16,WCt
2.16,WCt
2.16,WCt
2.16,WCt
2.16,WCt
2.15,WCc
2.15,WCc
2.15,WCc
2.15,WCc
2.15,WCc
2.15,WCc
2.15,WCc
2.15,WCc
2.15,WCc
2.15,WCt
2.15,WCt
2.15,WCt
2.14,WCc
2.14,WCt
2.14,WCt
2.14,WCt
2.12,DC
2.12,DC
2.11,WCc
2.11,WCt
2.11,WCt
2.1,WCc
2.1,WCt
2.1,WCt
2.09,WCc
2.09,WCc
2.09,WCc
2.09,WCc
2.09,WCc
2.08,DC
2.08,WCt
2.08,WCt
2.08,WCt
2.08,WCt
2.08,WCt
2.07,DC
2.07,DC
2.07,WCt
2.05,DC
2.05,WCt
2.05,WCt
2.05,WCt
2.04,DC
2.04,WCt
2.03,WCc
2.03,WCc
2.03,WCc
2.03,WCc
2.03,WCc
2.03,WCc
2.03,WCc
2.03,WCt
2.02,DC
2.02,DC
2.02,WCc
2.02,WCt
2.01,WCt
2,DC
2,DC
2,DC
2,WCc
1.99,WCt
1.98,WCt
1.97,WCc
1.97,WCc
1.97,WCc
1.97,WCc
1.97,WCc
1.97,WCc
1.97,WCc
1.97,WCt
1.97,WCt
1.96,WCt
1.96,WCt
1.96,WCt
1.96,WCt
1.95,WCt
1.95,WCt
1.93,DC
1.92,DC
1.92,WCt
1.91,WCc
1.91,WCc
1.91,WCc
