val$id;obsDC;model;extrapolation;predict
380;2.67;Cubist;FALSE;2.252277136
381;4.4;Cubist;FALSE;4.273006916
382;2.08;Cubist;FALSE;2.288575888
383;3.11;Cubist;FALSE;2.777439117
385;9.4;Cubist;FALSE;4.486073017
388;5;Cubist;FALSE;3.251457691
1;1.89;Random forest;TRUE;2.601148446
2;4.9;Random forest;TRUE;3.918425837
3;0.6;Random forest;TRUE;3.377687095
4;2.42;Random forest;TRUE;2.421336597
10;2.82;Random forest;TRUE;2.104300463
11;3.17;Random forest;TRUE;2.423274948
22;2.32;Random forest;TRUE;2.463075002
23;0.6;Random forest;TRUE;5.015053373
27;3.73;Random forest;TRUE;2.840077007
33;2.68;Random forest;TRUE;2.340517689
35;4.21;Random forest;TRUE;4.01664141
43;3.96;Random forest;TRUE;3.752037224
44;3.87;Random forest;TRUE;2.706961513
45;2.52;Random forest;TRUE;2.272017754
52;0.4;Random forest;TRUE;3.656326931
54;5.51;Random forest;TRUE;4.154392343
56;6.68;Random forest;TRUE;5.331913318
58;3.32;Random forest;TRUE;4.133508892
64;3.36;Random forest;TRUE;3.495159866
65;0.5;Random forest;TRUE;2.286308234
69;5.03;Random forest;TRUE;3.703135357
84;3.05;Random forest;TRUE;2.394473136
85;2.91;Random forest;TRUE;2.198195436
87;2.6;Random forest;TRUE;2.548047638
88;3.59;Random forest;TRUE;2.546088188
94;2.7;Random forest;TRUE;2.895324806
95;2.16;Random forest;TRUE;2.104852047
105;3.42;Random forest;TRUE;2.698158372
110;12.53;Random forest;TRUE;5.173209335
111;3.07;Random forest;TRUE;2.60330354
112;7.34;Random forest;TRUE;4.572643644
115;3.4;Random forest;TRUE;2.558362497
122;6.69;Random forest;TRUE;6.215697015
123;2.6;Random forest;TRUE;2.404530698
124;3.38;Random forest;TRUE;3.509943565
125;3.13;Random forest;TRUE;2.440964257
126;2.57;Random forest;TRUE;2.280272874
128;2.45;Random forest;TRUE;2.405991723
129;11.16;Random forest;TRUE;6.578444435
131;5.7;Random forest;TRUE;4.848329919
132;3.18;Random forest;TRUE;2.510195252
134;2.98;Random forest;TRUE;2.601342445
146;5.47;Random forest;TRUE;5.835265766
149;5.47;Random forest;TRUE;3.983752454
152;4.24;Random forest;TRUE;3.64425813
155;7.56;Random forest;TRUE;6.036357834
168;3.62;Random forest;TRUE;2.095381689
170;3.32;Random forest;TRUE;4.364772004
171;5.35;Random forest;TRUE;3.24300563
173;4.2;Random forest;TRUE;2.98632556
175;4.28;Random forest;TRUE;3.726487919
180;4.03;Random forest;TRUE;3.271628788
181;5.14;Random forest;TRUE;3.343365063
182;4.1;Random forest;TRUE;3.448066469
187;3.13;Random forest;TRUE;2.712728343
188;3.78;Random forest;TRUE;2.361398126
190;4.04;Random forest;TRUE;2.513294587
193;3.67;Random forest;TRUE;4.083336711
198;2.07;Random forest;TRUE;2.395083083
199;2.98;Random forest;TRUE;3.704209753
205;5.05;Random forest;TRUE;4.336278727
212;5.3;Random forest;TRUE;3.608421093
213;4.09;Random forest;TRUE;3.967645009
214;6.29;Random forest;TRUE;2.721096903
221;1.85;Random forest;TRUE;2.742497961
223;4.23;Random forest;TRUE;3.496716247
224;3.04;Random forest;TRUE;2.512693682
225;1.3;Random forest;TRUE;3.030218512
226;4.72;Random forest;TRUE;3.864117739
227;2.57;Random forest;TRUE;2.573651746
229;3.22;Random forest;TRUE;2.4966657
232;1.72;Random forest;TRUE;2.45962877
235;3.02;Random forest;TRUE;2.667417111
241;1.93;Random forest;TRUE;2.567501302
247;1.92;Random forest;TRUE;2.241571877
253;6.5;Random forest;TRUE;2.664687417
254;3.43;Random forest;TRUE;2.432928071
267;2;Random forest;TRUE;2.315658068
281;4.54;Random forest;TRUE;3.23137552
285;2.74;Random forest;TRUE;2.363468277
290;2.7;Random forest;TRUE;3.378254297
294;4.85;Random forest;TRUE;3.181051811
297;4.19;Random forest;TRUE;4.618547013
301;1.7;Random forest;TRUE;4.316444189
305;2.9;Random forest;TRUE;3.629296324
306;3.91;Random forest;TRUE;3.306814776
309;3.25;Random forest;TRUE;3.083074353
310;2.96;Random forest;TRUE;2.814891588
311;5.35;Random forest;TRUE;4.717641338
312;5.81;Random forest;TRUE;3.037585289
320;6.6;Random forest;TRUE;6.76040124
322;4.78;Random forest;TRUE;5.865607245
325;3.21;Random forest;TRUE;2.547495233
326;3.61;Random forest;TRUE;2.528843598
329;3.45;Random forest;TRUE;2.395845655
332;3.55;Random forest;TRUE;2.76321317
333;3.82;Random forest;TRUE;2.821497438
334;2.45;Random forest;TRUE;3.335736605
338;5.19;Random forest;TRUE;3.195182269
344;2.58;Random forest;TRUE;3.58525979
346;4.02;Random forest;TRUE;2.314301989
349;2.37;Random forest;TRUE;3.159604446
353;2.5;Random forest;TRUE;4.167099589
357;2.24;Random forest;TRUE;2.540577011
358;3;Random forest;TRUE;2.985389265
359;2.76;Random forest;TRUE;3.210987206
361;2.92;Random forest;TRUE;2.550930505
365;3;Random forest;TRUE;2.503484182
367;3.85;Random forest;TRUE;3.00862729
370;2.43;Random forest;TRUE;3.039466373
371;5.08;Random forest;TRUE;2.887815699
380;2.67;Random forest;TRUE;2.232838882
381;4.4;Random forest;TRUE;3.786184986
382;2.08;Random forest;TRUE;2.693738853
383;3.11;Random forest;TRUE;2.434581178
385;9.4;Random forest;TRUE;3.92480508
388;5;Random forest;TRUE;3.362971076
1;1.89;Random forest;FALSE;3.117246
2;4.9;Random forest;FALSE;4.726632
3;0.6;Random forest;FALSE;4.178876333
4;2.42;Random forest;FALSE;2.854606333
10;2.82;Random forest;FALSE;2.537457667
11;3.17;Random forest;FALSE;2.930603667
22;2.32;Random forest;FALSE;3.040831667
23;0.6;Random forest;FALSE;6.058228667
27;3.73;Random forest;FALSE;3.481503333
33;2.68;Random forest;FALSE;2.843665667
35;4.21;Random forest;FALSE;4.896265333
43;3.96;Random forest;FALSE;4.137026
44;3.87;Random forest;FALSE;3.342160333
45;2.52;Random forest;FALSE;2.759973
52;0.4;Random forest;FALSE;4.603558333
54;5.51;Random forest;FALSE;5.114423
56;6.68;Random forest;FALSE;6.349438
58;3.32;Random forest;FALSE;4.542369
64;3.36;Random forest;FALSE;4.229021667
65;0.5;Random forest;FALSE;2.800506
69;5.03;Random forest;FALSE;4.629101333
84;3.05;Random forest;FALSE;2.824389667
85;2.91;Random forest;FALSE;2.665871667
87;2.6;Random forest;FALSE;3.176604333
88;3.59;Random forest;FALSE;3.001758333
94;2.7;Random forest;FALSE;3.493160238
95;2.16;Random forest;FALSE;2.520876667
105;3.42;Random forest;FALSE;2.933371
110;12.53;Random forest;FALSE;6.182150667
111;3.07;Random forest;FALSE;3.169937333
112;7.34;Random forest;FALSE;5.438840333
115;3.4;Random forest;FALSE;2.970892
122;6.69;Random forest;FALSE;7.572206
123;2.6;Random forest;FALSE;2.805344
124;3.38;Random forest;FALSE;4.278223667
125;3.13;Random forest;FALSE;2.790448667
126;2.57;Random forest;FALSE;2.688525
128;2.45;Random forest;FALSE;3.021224
129;11.16;Random forest;FALSE;8.048562333
131;5.7;Random forest;FALSE;5.901327
132;3.18;Random forest;FALSE;2.993778667
134;2.98;Random forest;FALSE;3.191758667
146;5.47;Random forest;FALSE;6.956743
149;5.47;Random forest;FALSE;4.963263667
152;4.24;Random forest;FALSE;4.392383
155;7.56;Random forest;FALSE;7.277021
168;3.62;Random forest;FALSE;2.546099667
170;3.32;Random forest;FALSE;5.254031
171;5.35;Random forest;FALSE;4.126955286
173;4.2;Random forest;FALSE;3.610202667
